runid                 	all	mh-contextualized-complete	mh-contextualized-no	mh-contextualized-partial	mh-simple-complete	mh-simple-no	mh-simple-partial	mhsw-contextualized-partial	mhw-contextualized-complete	mhw-contextualized-no	mhw-contextualized-partial	mhwcv-contextualized-complete	mhwcv-contextualized-no	mhwcv-contextualized-partial	mhwcv-simple-complete	mhwcv-simple-no	mhwcv-simple-partial	mhw-simple-complete	mhw-simple-no	mhw-simple-partial	mhwv-contextualized-complete	mhwv-contextualized-no	mhwv-contextualized-partial	mhwv-simple-complete	mhwv-simple-no	mhwv-simple-partial	ml-contextualized-complete	ml-contextualized-no	ml-contextualized-partial	ml-simple-complete	ml-simple-no	ml-simple-partial
num_q                 	all	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
num_ret               	all	160	160	160	160	160	160	160	160	160	160	160	160	160	160	160	160	160	160	160	160	160	160	160	160	160	160	160	160	160	160	160
num_rel               	all	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180
num_rel_ret           	all	58	55	55	55	28	56	56	58	64	64	48	50	50	53	32	56	54	32	58	54	57	57	52	21	58	42	37	44	41	29	43
map                   	all	0.2632	0.2481	0.2472	0.2398	0.0748	0.2244	0.2199	0.2911	0.2954	0.2947	0.1771	0.1694	0.1694	0.2015	0.0668	0.1944	0.2627	0.1038	0.2567	0.2216	0.2111	0.2111	0.2167	0.0421	0.2067	0.1738	0.1493	0.1701	0.1740	0.0737	0.1649
iprec_at_recall_0.00  	all	0.9423	0.9145	0.9145	0.9375	0.5009	0.9187	0.9306	0.9375	0.9313	0.9313	0.8466	0.7695	0.7695	0.8854	0.3622	0.7833	0.9688	0.7519	0.9313	0.8355	0.7537	0.7537	0.8438	0.1959	0.7656	0.9583	0.9437	0.9437	0.9583	0.4505	0.9437
iprec_at_recall_0.10  	all	0.8149	0.7575	0.7463	0.8058	0.2242	0.7312	0.8301	0.8549	0.8308	0.8152	0.6777	0.6688	0.6688	0.7292	0.2685	0.6896	0.8601	0.3195	0.8063	0.7389	0.7196	0.7196	0.7428	0.1677	0.6959	0.8458	0.7786	0.8312	0.8458	0.2940	0.7757
iprec_at_recall_0.20  	all	0.6154	0.4777	0.4777	0.6072	0.1974	0.5312	0.5636	0.6523	0.6212	0.6212	0.4921	0.4480	0.4480	0.5281	0.1764	0.4788	0.6779	0.2439	0.6440	0.5775	0.5130	0.5130	0.5943	0.1401	0.5122	0.4757	0.3187	0.4665	0.4480	0.1903	0.4406
iprec_at_recall_0.30  	all	0.3138	0.3575	0.3575	0.2938	0.0793	0.3375	0.3271	0.3819	0.4970	0.4970	0.1778	0.2655	0.2655	0.2731	0.0583	0.3723	0.2944	0.1329	0.3533	0.2080	0.3366	0.3366	0.2011	0.0583	0.3791	0.0278	0.0357	0.0278	0.0357	0.0357	0.0357
iprec_at_recall_0.40  	all	0.2423	0.2423	0.2423	0.2333	0.0729	0.2333	0.1075	0.3194	0.3194	0.3194	0.0341	0.0341	0.0341	0.0903	0.0583	0.0903	0.2083	0.0781	0.2083	0.1812	0.1812	0.1812	0.2011	0.0167	0.2011	0.0278	0.0357	0.0278	0.0357	0.0357	0.0357
iprec_at_recall_0.50  	all	0.1708	0.1708	0.1708	0.1271	0.0312	0.1271	0.0417	0.1833	0.1833	0.1833	0.0341	0.0341	0.0341	0.0341	0.0167	0.0341	0.0833	0.0312	0.0833	0.1684	0.1684	0.1684	0.0312	0.0167	0.0312	0.0278	0.0357	0.0278	0.0357	0.0357	0.0357
iprec_at_recall_0.60  	all	0.1031	0.1031	0.1031	0.0268	0.0000	0.0268	0.0312	0.0750	0.0750	0.0750	0.0341	0.0341	0.0341	0.0341	0.0000	0.0341	0.0625	0.0000	0.0625	0.0221	0.0221	0.0221	0.0268	0.0000	0.0268	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
iprec_at_recall_0.70  	all	0.0469	0.0469	0.0469	0.0268	0.0000	0.0268	0.0312	0.0750	0.0750	0.0750	0.0341	0.0341	0.0341	0.0341	0.0000	0.0341	0.0625	0.0000	0.0625	0.0221	0.0221	0.0221	0.0268	0.0000	0.0268	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
iprec_at_recall_0.80  	all	0.0250	0.0250	0.0250	0.0000	0.0000	0.0000	0.0000	0.0417	0.0417	0.0417	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0263	0.0000	0.0263	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
iprec_at_recall_0.90  	all	0.0250	0.0250	0.0250	0.0000	0.0000	0.0000	0.0000	0.0417	0.0417	0.0417	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0263	0.0000	0.0263	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
iprec_at_recall_1.00  	all	0.0250	0.0250	0.0250	0.0000	0.0000	0.0000	0.0000	0.0417	0.0417	0.0417	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0263	0.0000	0.0263	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
ndcg_cut_01            	all	0.7500	0.7500	0.7500	0.7500	0.1875	0.7500	0.8125	0.8125	0.8125	0.8125	0.5000	0.3750	0.3750	0.5000	0.0625	0.3750	0.8125	0.4375	0.8125	0.5000	0.3750	0.3750	0.5000	0.0000	0.3750	0.7500	0.7500	0.7500	0.7500	0.1250	0.7500
ndcg_cut_02            	all	0.5808	0.5808	0.5808	0.6049	0.1150	0.6049	0.6674	0.7641	0.7158	0.7158	0.4758	0.3992	0.3992	0.4758	0.0867	0.3992	0.6916	0.2924	0.6433	0.4275	0.4234	0.4234	0.4275	0.0000	0.4234	0.6291	0.6775	0.6775	0.6291	0.1008	0.6291
ndcg_cut_03            	all	0.5041	0.5041	0.5041	0.5084	0.1232	0.5084	0.5626	0.6416	0.6045	0.6045	0.3827	0.3534	0.3534	0.4619	0.0957	0.3886	0.6412	0.2737	0.5749	0.4235	0.4057	0.4057	0.4235	0.0293	0.3910	0.5997	0.5781	0.6074	0.5997	0.1256	0.5557
ndcg_cut_04            	all	0.4747	0.4642	0.4642	0.4658	0.1057	0.4553	0.4911	0.6038	0.5415	0.5415	0.4513	0.3639	0.3639	0.5076	0.0901	0.3941	0.6226	0.2624	0.5044	0.4515	0.3946	0.3946	0.4538	0.0454	0.3953	0.5601	0.5106	0.5350	0.5601	0.1174	0.4710
ndcg_cut_05            	all	0.4924	0.4580	0.4580	0.4912	0.0989	0.4393	0.4865	0.6186	0.5474	0.5474	0.4491	0.3713	0.3713	0.4787	0.1119	0.3863	0.6326	0.2387	0.5117	0.4277	0.3683	0.3683	0.4692	0.0422	0.3917	0.5272	0.4671	0.5047	0.5436	0.1264	0.4571
ndcg_cut_06            	all	0.5166	0.4442	0.4442	0.5014	0.1087	0.4201	0.5084	0.6168	0.5654	0.5654	0.4444	0.3745	0.3745	0.4714	0.1201	0.3817	0.6349	0.2284	0.5400	0.4329	0.3726	0.3726	0.4574	0.0563	0.3794	0.5275	0.4554	0.5011	0.5273	0.1186	0.4478
ndcg_cut_07            	all	0.5245	0.4466	0.4466	0.5095	0.1101	0.4060	0.5244	0.6256	0.5669	0.5611	0.4340	0.3765	0.3765	0.4555	0.1432	0.3800	0.6315	0.2272	0.5467	0.4501	0.3946	0.3946	0.4526	0.0733	0.3564	0.5057	0.4572	0.4702	0.5388	0.1618	0.4771
