runid                 	all	drc-contextualized-partial	mh-simple-no	mh-simple-partial	mhw-contextualized-partial	ml-simple-no	ml-simple-partial
num_q                 	all	7	7	7	7	7	7
num_ret               	all	35	35	35	35	35	35
num_rel               	all	44	44	44	44	44	44
num_rel_ret           	all	17	6	15	19	4	16
map                   	all	0.3859	0.0405	0.2374	0.4510	0.0196	0.3375
ndcg_cut_01            	all	0.6429	0.0000	0.3571	0.7857	0.0000	0.7143
ndcg_cut_02            	all	0.7047	0.0000	0.4085	0.7647	0.0553	0.8038
ndcg_cut_03            	all	0.7102	0.0228	0.4320	0.7589	0.0423	0.7264
ndcg_cut_04            	all	0.6767	0.1300	0.4922	0.7120	0.0818	0.6486
ndcg_cut_05            	all	0.6483	0.1414	0.4864	0.6995	0.0918	0.6544
set_P                 	all	0.4857	0.1714	0.4286	0.5429	0.1143	0.4571
set_recall            	all	0.4369	0.1429	0.3726	0.4833	0.0595	0.3845
set_F                 	all	0.4405	0.1450	0.3802	0.4910	0.0776	0.3970
num_ret               	1634952948	5	5	5	5	5	5
num_rel               	1634952948	5	5	5	5	5	5
num_rel_ret           	1634952948	3	0	2	4	0	2
map                   	1634952948	0.5500	0.0000	0.1667	0.7600	0.0000	0.4000
ndcg_cut_01            	1634952948	1.0000	0.0000	0.0000	1.0000	0.0000	1.0000
ndcg_cut_02            	1634952948	1.0000	0.0000	0.0000	1.0000	0.0000	1.0000
ndcg_cut_03            	1634952948	0.8671	0.0000	0.2658	1.0000	0.0000	0.8671
ndcg_cut_04            	1634952948	0.8807	0.0000	0.3412	0.8973	0.0000	0.7780
ndcg_cut_05            	1634952948	0.8063	0.0000	0.3124	0.9060	0.0000	0.7123
set_P                 	1634952948	0.6000	0.0000	0.4000	0.8000	0.0000	0.4000
set_recall            	1634952948	0.6000	0.0000	0.4000	0.8000	0.0000	0.4000
set_F                 	1634952948	0.6000	0.0000	0.4000	0.8000	0.0000	0.4000
num_ret               	1744816435	5	5	5	5	5	5
num_rel               	1744816435	12	12	12	12	12	12
num_rel_ret           	1744816435	3	2	3	3	2	4
map                   	1744816435	0.1597	0.0542	0.1597	0.1889	0.0750	0.3167
ndcg_cut_01            	1744816435	0.0000	0.0000	0.0000	1.0000	0.0000	1.0000
ndcg_cut_02            	1744816435	0.3869	0.0000	0.3869	0.6131	0.3869	1.0000
ndcg_cut_03            	1744816435	0.5307	0.0000	0.5307	0.7039	0.2961	1.0000
ndcg_cut_04            	1744816435	0.6096	0.1681	0.6096	0.5856	0.2463	0.8319
ndcg_cut_05            	1744816435	0.5296	0.2773	0.5296	0.6399	0.3452	0.8539
set_P                 	1744816435	0.6000	0.4000	0.6000	0.6000	0.4000	0.8000
set_recall            	1744816435	0.2500	0.1667	0.2500	0.2500	0.1667	0.3333
set_F                 	1744816435	0.3529	0.2353	0.3529	0.3529	0.2353	0.4706
num_ret               	1802054300	5	5	5	5	5	5
num_rel               	1802054300	8	8	8	8	8	8
num_rel_ret           	1802054300	2	1	2	2	1	2
map                   	1802054300	0.2083	0.0312	0.1750	0.2500	0.0312	0.1125
ndcg_cut_01            	1802054300	1.0000	0.0000	1.0000	1.0000	0.0000	0.0000
ndcg_cut_02            	1802054300	0.6131	0.0000	0.6131	0.8066	0.0000	0.3869
ndcg_cut_03            	1802054300	0.6646	0.0000	0.5317	0.6994	0.0000	0.3354
ndcg_cut_04            	1802054300	0.5963	0.2054	0.4770	0.6275	0.2054	0.3010
ndcg_cut_05            	1802054300	0.5459	0.1881	0.5212	0.5745	0.1881	0.3600
set_P                 	1802054300	0.4000	0.2000	0.4000	0.4000	0.2000	0.4000
set_recall            	1802054300	0.2500	0.1250	0.2500	0.2500	0.1250	0.2500
set_F                 	1802054300	0.3077	0.1538	0.3077	0.3077	0.1538	0.3077
num_ret               	1973672910	5	5	5	5	5	5
num_rel               	1973672910	8	8	8	8	8	8
num_rel_ret           	1973672910	3	1	3	4	1	3
