runid                 	all	drc-contextualized-partial	mh-simple-no	mh-simple-partial	mhw-contextualized-partial	ml-simple-no	ml-simple-partial
num_q                 	all	36	36	36	36	36	36
num_ret               	all	176	180	176	176	180	176
num_rel               	all	140	140	140	140	140	140
num_rel_ret           	all	78	49	76	75	50	74
map                   	all	0.5787	0.3689	0.5631	0.5816	0.3640	0.5294
ndcg_cut_01            	all	0.7500	0.5278	0.7639	0.8056	0.4861	0.7361
ndcg_cut_02            	all	0.7541	0.4838	0.7022	0.7720	0.4876	0.7414
ndcg_cut_03            	all	0.7704	0.4710	0.7149	0.7782	0.4973	0.7334
ndcg_cut_04            	all	0.7526	0.4856	0.7244	0.7527	0.4961	0.7153
ndcg_cut_05            	all	0.7493	0.4981	0.7329	0.7432	0.4940	0.7168
set_P                 	all	0.4444	0.2722	0.4333	0.4278	0.2778	0.4222
set_recall            	all	0.6881	0.4449	0.6660	0.6420	0.4357	0.6117
set_F                 	all	0.4898	0.3038	0.4748	0.4683	0.3066	0.4518
num_ret               	1011013747	5	5	5	5	5	5
num_rel               	1011013747	1	1	1	1	1	1
num_rel_ret           	1011013747	1	1	1	1	0	1
map                   	1011013747	0.5000	0.5000	1.0000	1.0000	0.0000	0.5000
ndcg_cut_01            	1011013747	0.0000	0.0000	1.0000	1.0000	0.0000	0.0000
ndcg_cut_02            	1011013747	0.6309	0.6309	1.0000	1.0000	0.0000	0.6309
ndcg_cut_03            	1011013747	0.6309	0.6309	1.0000	1.0000	0.0000	0.6309
ndcg_cut_04            	1011013747	0.6309	0.6309	1.0000	1.0000	0.0000	0.6309
ndcg_cut_05            	1011013747	0.6309	0.6309	1.0000	1.0000	0.0000	0.6309
set_P                 	1011013747	0.2000	0.2000	0.2000	0.2000	0.0000	0.2000
set_recall            	1011013747	1.0000	1.0000	1.0000	1.0000	0.0000	1.0000
set_F                 	1011013747	0.3333	0.3333	0.3333	0.3333	0.0000	0.3333
num_ret               	1058967988	5	5	5	5	5	5
num_rel               	1058967988	6	6	6	6	6	6
num_rel_ret           	1058967988	4	4	4	3	3	3
map                   	1058967988	0.6667	0.6667	0.6667	0.5000	0.4333	0.4583
ndcg_cut_01            	1058967988	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
ndcg_cut_02            	1058967988	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
ndcg_cut_03            	1058967988	0.8827	0.8827	0.8827	0.8827	0.7654	0.7654
ndcg_cut_04            	1058967988	0.9852	0.9852	0.9852	0.8017	0.6951	0.7869
ndcg_cut_05            	1058967988	0.9102	0.9102	0.9102	0.7406	0.7183	0.7270
set_P                 	1058967988	0.8000	0.8000	0.8000	0.6000	0.6000	0.6000
set_recall            	1058967988	0.6667	0.6667	0.6667	0.5000	0.5000	0.5000
set_F                 	1058967988	0.7273	0.7273	0.7273	0.5455	0.5455	0.5455
num_ret               	1088443226	5	5	5	5	5	5
num_rel               	1088443226	1	1	1	1	1	1
num_rel_ret           	1088443226	1	1	1	1	1	1
map                   	1088443226	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
