runid                 	all	mh-simple-no	mh-simple-partial	mhw-contextualized-partial	ml-simple-no	ml-simple-partial
num_q                 	all	29	29	29	29	29
num_ret               	all	145	141	141	145	141
num_rel               	all	95	95	95	95	95
num_rel_ret           	all	43	61	59	46	59
map                   	all	0.4486	0.6430	0.6326	0.4475	0.5913
ndcg_cut_01            	all	0.6207	0.8448	0.7759	0.5862	0.7241
ndcg_cut_02            	all	0.5719	0.7549	0.7395	0.5671	0.7166
ndcg_cut_03            	all	0.5580	0.7766	0.7624	0.5887	0.7474
ndcg_cut_04            	all	0.5516	0.7695	0.7548	0.5790	0.7457
ndcg_cut_05            	all	0.5696	0.7830	0.7597	0.5764	0.7470
set_P                 	all	0.2966	0.4345	0.4207	0.3172	0.4207
set_recall            	all	0.5187	0.7385	0.6960	0.5273	0.7034
set_F                 	all	0.3427	0.4987	0.4802	0.3624	0.4781
num_ret               	1011013747	5	5	5	5	5
num_rel               	1011013747	1	1	1	1	1
num_rel_ret           	1011013747	1	1	1	0	1
map                   	1011013747	0.5000	1.0000	1.0000	0.0000	0.5000
ndcg_cut_01            	1011013747	0.0000	1.0000	1.0000	0.0000	0.0000
ndcg_cut_02            	1011013747	0.6309	1.0000	1.0000	0.0000	0.6309
ndcg_cut_03            	1011013747	0.6309	1.0000	1.0000	0.0000	0.6309
ndcg_cut_04            	1011013747	0.6309	1.0000	1.0000	0.0000	0.6309
ndcg_cut_05            	1011013747	0.6309	1.0000	1.0000	0.0000	0.6309
set_P                 	1011013747	0.2000	0.2000	0.2000	0.0000	0.2000
set_recall            	1011013747	1.0000	1.0000	1.0000	0.0000	1.0000
set_F                 	1011013747	0.3333	0.3333	0.3333	0.0000	0.3333
num_ret               	1058967988	5	5	5	5	5
num_rel               	1058967988	6	6	6	6	6
num_rel_ret           	1058967988	4	4	3	3	3
map                   	1058967988	0.6667	0.6667	0.4028	0.4333	0.4583
ndcg_cut_01            	1058967988	0.5000	1.0000	1.0000	1.0000	1.0000
ndcg_cut_02            	1058967988	0.6934	1.0000	0.6131	0.8066	1.0000
ndcg_cut_03            	1058967988	0.7342	1.0000	0.7975	0.6994	0.8671
ndcg_cut_04            	1058967988	0.8642	1.0000	0.8183	0.6275	0.8807
ndcg_cut_05            	1058967988	0.7912	0.9155	0.7492	0.6590	0.8063
set_P                 	1058967988	0.8000	0.8000	0.6000	0.6000	0.6000
set_recall            	1058967988	0.6667	0.6667	0.5000	0.5000	0.5000
set_F                 	1058967988	0.7273	0.7273	0.5455	0.5455	0.5455
num_ret               	1088443226	5	5	5	5	5
num_rel               	1088443226	1	1	1	1	1
num_rel_ret           	1088443226	1	1	1	1	1
map                   	1088443226	1.0000	1.0000	1.0000	1.0000	1.0000
ndcg_cut_01            	1088443226	1.0000	1.0000	1.0000	1.0000	1.0000
ndcg_cut_02            	1088443226	1.0000	1.0000	1.0000	1.0000	1.0000
ndcg_cut_03            	1088443226	1.0000	1.0000	1.0000	1.0000	1.0000
ndcg_cut_04            	1088443226	1.0000	1.0000	1.0000	1.0000	1.0000
ndcg_cut_05            	1088443226	1.0000	1.0000	1.0000	1.0000	1.0000
set_P                 	1088443226	0.2000	0.2000	0.2000	0.2000	0.2000
set_recall            	1088443226	1.0000	1.0000	1.0000	1.0000	1.0000
set_F                 	1088443226	0.3333	0.3333	0.3333	0.3333	0.3333
num_ret               	110809049	5	5	5	5	5
num_rel               	110809049	2	2	2	2	2
num_rel_ret           	110809049	1	2	2	1	1
map                   	110809049	0.5000	0.7000	0.7000	0.5000	0.5000
ndcg_cut_01            	110809049	1.0000	1.0000	1.0000	1.0000	1.0000
ndcg_cut_02            	110809049	0.7602	0.7602	0.7602	0.7602	0.7602
ndcg_cut_03            	110809049	0.7602	0.7602	0.7602	0.7602	0.7602
ndcg_cut_04            	110809049	0.7602	0.7602	0.7602	0.7602	0.7602
ndcg_cut_05            	110809049	0.7602	0.9072	0.9072	0.7602	0.7602
set_P                 	110809049	0.2000	0.4000	0.4000	0.2000	0.2000
set_recall            	110809049	0.5000	1.0000	1.0000	0.5000	0.5000
set_F                 	110809049	0.2857	0.5714	0.5714	0.2857	0.2857
num_ret               	1151263973	5	5	5	5	5
num_rel               	1151263973	2	2	2	2	2
num_rel_ret           	1151263973	1	1	1	1	1
map                   	1151263973	0.5000	0.5000	0.5000	0.5000	0.5000
ndcg_cut_01            	1151263973	1.0000	1.0000	1.0000	1.0000	1.0000
ndcg_cut_02            	1151263973	0.6131	0.6131	0.6131	0.6131	0.6131
ndcg_cut_03            	1151263973	0.6131	0.6131	0.6131	0.6131	0.6131
ndcg_cut_04            	1151263973	0.6131	0.6131	0.6131	0.6131	0.6131
ndcg_cut_05            	1151263973	0.6131	0.6131	0.6131	0.6131	0.6131
set_P                 	1151263973	0.2000	0.2000	0.2000	0.2000	0.2000
set_recall            	1151263973	0.5000	0.5000	0.5000	0.5000	0.5000
set_F                 	1151263973	0.2857	0.2857	0.2857	0.2857	0.2857
num_ret               	1161561471	5	5	5	5	5
num_rel               	1161561471	1	1	1	1	1
num_rel_ret           	1161561471	0	1	1	0	1
map                   	1161561471	0.0000	0.3333	0.5000	0.0000	0.5000
ndcg_cut_01            	1161561471	0.0000	0.0000	0.0000	0.0000	0.0000
ndcg_cut_02            	1161561471	0.0000	0.0000	0.6309	0.0000	0.6309
ndcg_cut_03            	1161561471	0.0000	0.5000	0.6309	0.0000	0.6309
ndcg_cut_04            	1161561471	0.0000	0.5000	0.6309	0.0000	0.6309
ndcg_cut_05            	1161561471	0.0000	0.5000	0.6309	0.0000	0.6309
set_P                 	1161561471	0.0000	0.2000	0.2000	0.0000	0.2000
set_recall            	1161561471	0.0000	1.0000	1.0000	0.0000	1.0000
set_F                 	1161561471	0.0000	0.3333	0.3333	0.0000	0.3333
num_ret               	1300152499	5	5	5	5	5
num_rel               	1300152499	1	1	1	1	1
num_rel_ret           	1300152499	1	1	1	1	1
map                   	1300152499	1.0000	1.0000	1.0000	1.0000	1.0000
ndcg_cut_01            	1300152499	1.0000	1.0000	1.0000	1.0000	1.0000
ndcg_cut_02            	1300152499	1.0000	1.0000	1.0000	1.0000	1.0000
ndcg_cut_03            	1300152499	1.0000	1.0000	1.0000	1.0000	1.0000
ndcg_cut_04            	1300152499	1.0000	1.0000	1.0000	1.0000	1.0000
ndcg_cut_05            	1300152499	1.0000	1.0000	1.0000	1.0000	1.0000
set_P                 	1300152499	0.2000	0.2000	0.2000	0.2000	0.2000
set_recall            	1300152499	1.0000	1.0000	1.0000	1.0000	1.0000
set_F                 	1300152499	0.3333	0.3333	0.3333	0.3333	0.3333
num_ret               	148489175	5	5	5	5	5
num_rel               	148489175	2	2	2	2	2
num_rel_ret           	148489175	1	1	1	2	1
map                   	148489175	0.5000	0.5000	0.5000	0.8333	0.5000
ndcg_cut_01            	148489175	1.0000	1.0000	1.0000	1.0000	1.0000
ndcg_cut_02            	148489175	0.7602	0.7602	0.7602	0.7602	0.7602
ndcg_cut_03            	148489175	0.7602	0.7602	0.7602	0.9502	0.7602
ndcg_cut_04            	148489175	0.7602	0.7602	0.7602	0.9502	0.7602
ndcg_cut_05            	148489175	0.7602	0.7602	0.7602	0.9502	0.7602
set_P                 	148489175	0.2000	0.2000	0.2000	0.4000	0.2000
set_recall            	148489175	0.5000	0.5000	0.5000	1.0000	0.5000
set_F                 	148489175	0.2857	0.2857	0.2857	0.5714	0.2857
num_ret               	1560839038	5	5	5	5	5
num_rel               	1560839038	3	3	3	3	3
num_rel_ret           	1560839038	1	3	2	2	2
map                   	1560839038	0.1667	0.8667	0.6667	0.5000	0.6667
ndcg_cut_01            	1560839038	0.0000	1.0000	1.0000	1.0000	1.0000
ndcg_cut_02            	1560839038	0.3869	1.0000	1.0000	0.6131	1.0000
ndcg_cut_03            	1560839038	0.3354	0.8671	0.8671	0.5317	0.8671
ndcg_cut_04            	1560839038	0.3354	0.8671	0.8671	0.7606	0.8671
ndcg_cut_05            	1560839038	0.3354	0.9699	0.8671	0.7606	0.8671
set_P                 	1560839038	0.2000	0.6000	0.4000	0.4000	0.4000
set_recall            	1560839038	0.3333	1.0000	0.6667	0.6667	0.6667
set_F                 	1560839038	0.2500	0.7500	0.5000	0.5000	0.5000
num_ret               	1568257892	5	5	5	5	5
num_rel               	1568257892	4	4	4	4	4
num_rel_ret           	1568257892	1	2	2	3	2
map                   	1568257892	0.2500	0.4167	0.5000	0.6042	0.5000
ndcg_cut_01            	1568257892	1.0000	1.0000	1.0000	1.0000	1.0000
ndcg_cut_02            	1568257892	0.7602	0.7602	1.0000	0.7602	1.0000
ndcg_cut_03            	1568257892	0.6388	0.7985	0.8403	0.7985	0.8403
ndcg_cut_04            	1568257892	0.5615	0.7019	0.7387	0.8229	0.7387
ndcg_cut_05            	1568257892	0.5615	0.7019	0.7387	0.8229	0.7387
set_P                 	1568257892	0.2000	0.4000	0.4000	0.6000	0.4000
set_recall            	1568257892	0.2500	0.5000	0.5000	0.7500	0.5000
set_F                 	1568257892	0.2222	0.4444	0.4444	0.6667	0.4444
num_ret               	1668711967	5	5	5	5	5
num_rel               	1668711967	6	6	6	6	6
num_rel_ret           	1668711967	1	2	3	1	3
map                   	1668711967	0.0833	0.2500	0.2944	0.0833	0.4583
ndcg_cut_01            	1668711967	0.0000	1.0000	0.0000	0.0000	1.0000
ndcg_cut_02            	1668711967	0.3869	0.6131	0.3869	0.3869	1.0000
ndcg_cut_03            	1668711967	0.2961	0.4693	0.5307	0.2961	0.7654
ndcg_cut_04            	1668711967	0.2463	0.5585	0.4415	0.2463	0.8048
ndcg_cut_05            	1668711967	0.2140	0.4852	0.5148	0.2140	0.6992
set_P                 	1668711967	0.2000	0.4000	0.6000	0.2000	0.6000
set_recall            	1668711967	0.1667	0.3333	0.5000	0.1667	0.5000
set_F                 	1668711967	0.1818	0.3636	0.5455	0.1818	0.5455
num_ret               	1689442184	5	5	5	5	5
num_rel               	1689442184	1	1	1	1	1
num_rel_ret           	1689442184	1	1	0	1	1
map                   	1689442184	1.0000	0.2500	0.0000	1.0000	0.3333
ndcg_cut_01            	1689442184	1.0000	0.0000	0.0000	1.0000	0.0000
ndcg_cut_02            	1689442184	1.0000	0.0000	0.0000	1.0000	0.0000
ndcg_cut_03            	1689442184	1.0000	0.0000	0.0000	1.0000	0.5000
ndcg_cut_04            	1689442184	1.0000	0.4307	0.0000	1.0000	0.5000
ndcg_cut_05            	1689442184	1.0000	0.4307	0.0000	1.0000	0.5000
set_P                 	1689442184	0.2000	0.2000	0.0000	0.2000	0.2000
set_recall            	1689442184	1.0000	1.0000	0.0000	1.0000	1.0000
set_F                 	1689442184	0.3333	0.3333	0.0000	0.3333	0.3333
num_ret               	1888395491	5	5	5	5	5
num_rel               	1888395491	2	2	2	2	2
num_rel_ret           	1888395491	2	2	2	2	2
map                   	1888395491	1.0000	1.0000	1.0000	1.0000	1.0000
ndcg_cut_01            	1888395491	1.0000	1.0000	1.0000	1.0000	1.0000
ndcg_cut_02            	1888395491	1.0000	1.0000	1.0000	1.0000	1.0000
ndcg_cut_03            	1888395491	1.0000	1.0000	1.0000	1.0000	1.0000
ndcg_cut_04            	1888395491	1.0000	1.0000	1.0000	1.0000	1.0000
ndcg_cut_05            	1888395491	1.0000	1.0000	1.0000	1.0000	1.0000
set_P                 	1888395491	0.4000	0.4000	0.4000	0.4000	0.4000
set_recall            	1888395491	1.0000	1.0000	1.0000	1.0000	1.0000
set_F                 	1888395491	0.5714	0.5714	0.5714	0.5714	0.5714
num_ret               	1911613041	5	5	5	5	5
num_rel               	1911613041	8	8	8	8	8
num_rel_ret           	1911613041	3	4	2	3	4
map                   	1911613041	0.2833	0.4750	0.2500	0.2625	0.4437
ndcg_cut_01            	1911613041	0.5000	0.5000	0.5000	0.5000	0.5000
ndcg_cut_02            	1911613041	0.3066	0.5000	0.6934	0.3066	0.5000
ndcg_cut_03            	1911613041	0.3987	0.5665	0.6013	0.2658	0.4335
ndcg_cut_04            	1911613041	0.3578	0.5083	0.5395	0.3412	0.5945
ndcg_cut_05            	1911613041	0.4120	0.6343	0.4939	0.3969	0.7132
set_P                 	1911613041	0.6000	0.8000	0.4000	0.6000	0.8000
set_recall            	1911613041	0.3750	0.5000	0.2500	0.3750	0.5000
set_F                 	1911613041	0.4615	0.6154	0.3077	0.4615	0.6154
num_ret               	1976585275	5	5	5	5	5
num_rel               	1976585275	2	2	2	2	2
num_rel_ret           	1976585275	2	2	2	2	2
map                   	1976585275	1.0000	1.0000	1.0000	1.0000	1.0000
ndcg_cut_01            	1976585275	1.0000	1.0000	1.0000	1.0000	0.5000
ndcg_cut_02            	1976585275	1.0000	1.0000	1.0000	1.0000	0.8597
ndcg_cut_03            	1976585275	1.0000	1.0000	1.0000	1.0000	0.8597
ndcg_cut_04            	1976585275	1.0000	1.0000	1.0000	1.0000	0.8597
ndcg_cut_05            	1976585275	1.0000	1.0000	1.0000	1.0000	0.8597
set_P                 	1976585275	0.4000	0.4000	0.4000	0.4000	0.4000
set_recall            	1976585275	1.0000	1.0000	1.0000	1.0000	1.0000
set_F                 	1976585275	0.5714	0.5714	0.5714	0.5714	0.5714
num_ret               	2021450258	5	5	5	5	5
num_rel               	2021450258	2	2	2	2	2
num_rel_ret           	2021450258	1	1	1	1	1
map                   	2021450258	0.5000	0.5000	0.5000	0.5000	0.5000
ndcg_cut_01            	2021450258	1.0000	1.0000	1.0000	1.0000	1.0000
ndcg_cut_02            	2021450258	0.6131	0.6131	0.6131	0.6131	0.6131
ndcg_cut_03            	2021450258	0.6131	0.6131	0.6131	0.6131	0.6131
ndcg_cut_04            	2021450258	0.6131	0.6131	0.6131	0.6131	0.6131
ndcg_cut_05            	2021450258	0.6131	0.6131	0.6131	0.6131	0.6131
set_P                 	2021450258	0.2000	0.2000	0.2000	0.2000	0.2000
set_recall            	2021450258	0.5000	0.5000	0.5000	0.5000	0.5000
set_F                 	2021450258	0.2857	0.2857	0.2857	0.2857	0.2857
num_ret               	2117679317	5	3	3	5	3
num_rel               	2117679317	2	2	2	2	2
num_rel_ret           	2117679317	0	2	2	1	2
map                   	2117679317	0.0000	0.5833	0.8333	0.1667	0.5833
ndcg_cut_01            	2117679317	0.0000	0.0000	0.5000	0.0000	0.0000
ndcg_cut_02            	2117679317	0.0000	0.2398	0.3801	0.0000	0.2398
ndcg_cut_03            	2117679317	0.0000	0.6199	0.7602	0.3801	0.6199
ndcg_cut_04            	2117679317	0.0000	0.6199	0.7602	0.3801	0.6199
ndcg_cut_05            	2117679317	0.0000	0.6199	0.7602	0.3801	0.6199
set_P                 	2117679317	0.0000	0.6667	0.6667	0.2000	0.6667
set_recall            	2117679317	0.0000	1.0000	1.0000	0.5000	1.0000
set_F                 	2117679317	0.0000	0.8000	0.8000	0.2857	0.8000
num_ret               	2122702641	5	5	5	5	5
num_rel               	2122702641	5	5	5	5	5
num_rel_ret           	2122702641	2	4	4	2	3
map                   	2122702641	0.4000	0.7600	0.8000	0.4000	0.4533
ndcg_cut_01            	2122702641	1.0000	1.0000	1.0000	1.0000	1.0000
