runid                 	all	drc-contextualized-partial	mh-simple-no	mh-simple-partial	mhw-contextualized-partial	ml-simple-no	ml-simple-partial
num_q                 	all	39	39	39	39	39	39
num_ret               	all	765	780	765	765	780	765
num_rel               	all	501	501	501	501	501	501
num_rel_ret           	all	246	147	230	231	144	179
map                   	all	0.4930	0.2524	0.4399	0.4734	0.2325	0.3442
ndcg_cut_01            	all	0.8077	0.5769	0.7692	0.8333	0.5513	0.7564
ndcg_cut_02            	all	0.7829	0.5075	0.7296	0.7837	0.5414	0.6919
ndcg_cut_03            	all	0.7538	0.4599	0.6975	0.7330	0.4714	0.6471
ndcg_cut_04            	all	0.7231	0.4313	0.6670	0.7107	0.4262	0.5979
ndcg_cut_05            	all	0.7109	0.4118	0.6499	0.7027	0.4042	0.5871
ndcg_cut_06            	all	0.6986	0.3984	0.6305	0.6852	0.3995	0.5711
ndcg_cut_07            	all	0.6922	0.4030	0.6228	0.6858	0.4070	0.5693
ndcg_cut_08            	all	0.6850	0.4078	0.6228	0.6859	0.4087	0.5602
ndcg_cut_09            	all	0.6805	0.4066	0.6198	0.6812	0.4078	0.5568
ndcg_cut_10           	all	0.6793	0.4186	0.6238	0.6744	0.4052	0.5510
ndcg_cut_11           	all	0.6752	0.4161	0.6256	0.6734	0.4072	0.5446
ndcg_cut_12           	all	0.6788	0.4211	0.6240	0.6703	0.4053	0.5427
ndcg_cut_13           	all	0.6744	0.4246	0.6261	0.6682	0.4064	0.5421
ndcg_cut_14           	all	0.6769	0.4224	0.6305	0.6691	0.4123	0.5400
ndcg_cut_15           	all	0.6816	0.4230	0.6304	0.6702	0.4148	0.5393
ndcg_cut_16           	all	0.6821	0.4217	0.6332	0.6668	0.4160	0.5402
ndcg_cut_17           	all	0.6798	0.4234	0.6326	0.6665	0.4188	0.5399
ndcg_cut_18           	all	0.6818	0.4265	0.6332	0.6643	0.4178	0.5451
ndcg_cut_19           	all	0.6822	0.4265	0.6351	0.6688	0.4178	0.5431
ndcg_cut_20           	all	0.6825	0.4257	0.6401	0.6685	0.4172	0.5423
set_P                 	all	0.3209	0.1885	0.3003	0.3016	0.1846	0.2350
set_recall            	all	0.6428	0.3972	0.6034	0.6088	0.3736	0.4741
set_F                 	all	0.3850	0.2303	0.3612	0.3628	0.2233	0.2818
num_ret               	1011013747	20	20	20	20	20	20
num_rel               	1011013747	4	4	4	4	4	4
num_rel_ret           	1011013747	4	4	4	4	2	4
map                   	1011013747	1.0000	0.4299	1.0000	0.9500	0.5000	1.0000
ndcg_cut_01            	1011013747	0.5000	0.0000	0.5000	0.5000	1.0000	1.0000
ndcg_cut_02            	1011013747	0.5000	0.3869	0.5000	0.5000	1.0000	1.0000
ndcg_cut_03            	1011013747	0.6994	0.3354	0.6994	0.6994	0.8671	1.0000
ndcg_cut_04            	1011013747	0.8330	0.3010	0.8330	0.6275	0.7780	1.0000
ndcg_cut_05            	1011013747	0.8330	0.4855	0.8330	0.8121	0.7780	1.0000
ndcg_cut_06            	1011013747	0.8330	0.4855	0.8330	0.8121	0.7780	1.0000
ndcg_cut_07            	1011013747	0.8330	0.4855	0.8330	0.8121	0.7780	1.0000
ndcg_cut_08            	1011013747	0.8330	0.5608	0.8330	0.8121	0.7780	1.0000
ndcg_cut_09            	1011013747	0.8330	0.6326	0.8330	0.8121	0.7780	1.0000
ndcg_cut_10           	1011013747	0.8330	0.6326	0.8330	0.8121	0.7780	1.0000
ndcg_cut_11           	1011013747	0.8330	0.6326	0.8330	0.8121	0.7780	1.0000
ndcg_cut_12           	1011013747	0.8330	0.6326	0.8330	0.8121	0.7780	1.0000
ndcg_cut_13           	1011013747	0.8330	0.6326	0.8330	0.8121	0.7780	1.0000
ndcg_cut_14           	1011013747	0.8330	0.6326	0.8330	0.8121	0.7780	1.0000
ndcg_cut_15           	1011013747	0.8330	0.6326	0.8330	0.8121	0.7780	1.0000
ndcg_cut_16           	1011013747	0.8330	0.6326	0.8330	0.8121	0.7780	1.0000
ndcg_cut_17           	1011013747	0.8330	0.6326	0.8330	0.8121	0.7780	1.0000
ndcg_cut_18           	1011013747	0.8330	0.6326	0.8330	0.8121	0.7780	1.0000
ndcg_cut_19           	1011013747	0.8330	0.6326	0.8330	0.8121	0.7780	1.0000
ndcg_cut_20           	1011013747	0.8330	0.6326	0.8330	0.8121	0.7780	1.0000
set_P                 	1011013747	0.2000	0.2000	0.2000	0.2000	0.1000	0.2000
set_recall            	1011013747	1.0000	1.0000	1.0000	1.0000	0.5000	1.0000
set_F                 	1011013747	0.3333	0.3333	0.3333	0.3333	0.1667	0.3333
num_ret               	1058967988	20	20	20	20	20	20
num_rel               	1058967988	24	24	24	24	24	24
num_rel_ret           	1058967988	10	9	11	10	6	8
map                   	1058967988	0.3591	0.2906	0.3864	0.3427	0.1971	0.3030
ndcg_cut_01            	1058967988	1.0000	1.0000	1.0000	1.0000	0.5000	1.0000
ndcg_cut_02            	1058967988	0.8066	0.8066	0.8066	1.0000	0.6934	0.8066
ndcg_cut_03            	1058967988	0.8520	0.7346	0.8520	0.8827	0.6480	0.8520
ndcg_cut_04            	1058967988	0.8768	0.7793	0.8768	0.9024	0.5391	0.8768
ndcg_cut_05            	1058967988	0.8274	0.6770	0.8930	0.9152	0.5996	0.8274
ndcg_cut_06            	1058967988	0.8460	0.6040	0.8506	0.8166	0.5349	0.8460
ndcg_cut_07            	1058967988	0.8054	0.6711	0.8098	0.8254	0.5093	0.8054
ndcg_cut_08            	1058967988	0.7704	0.6419	0.7746	0.7895	0.4871	0.7704
ndcg_cut_09            	1058967988	0.7397	0.6562	0.7438	0.7581	0.5474	0.7397
ndcg_cut_10           	1058967988	0.7493	0.7057	0.7900	0.7301	0.5272	0.7493
ndcg_cut_11           	1058967988	0.7922	0.6814	0.7972	0.7051	0.5091	0.7236
ndcg_cut_12           	1058967988	0.7667	0.6595	0.7716	0.7146	0.4927	0.7003
ndcg_cut_13           	1058967988	0.7738	0.6395	0.7482	0.7232	0.4778	0.6791
ndcg_cut_14           	1058967988	0.7516	0.6211	0.7554	0.7599	0.4641	0.7170
ndcg_cut_15           	1058967988	0.7311	0.6042	0.7348	0.7391	0.4514	0.6974
ndcg_cut_16           	1058967988	0.7121	0.5885	0.7417	0.7199	0.4657	0.6793
ndcg_cut_17           	1058967988	0.6944	0.5739	0.7233	0.7020	0.4541	0.6624
ndcg_cut_18           	1058967988	0.6779	0.5840	0.7060	0.6853	0.4433	0.6466
ndcg_cut_19           	1058967988	0.6623	0.5707	0.7356	0.6925	0.4331	0.6318
ndcg_cut_20           	1058967988	0.6698	0.6021	0.7194	0.6773	0.4236	0.6179
set_P                 	1058967988	0.5000	0.4500	0.5500	0.5000	0.3000	0.4000
set_recall            	1058967988	0.4167	0.3750	0.4583	0.4167	0.2500	0.3333
set_F                 	1058967988	0.4545	0.4091	0.5000	0.4545	0.2727	0.3636
num_ret               	1088443226	20	20	20	20	20	20
num_rel               	1088443226	3	3	3	3	3	3
num_rel_ret           	1088443226	3	3	3	3	2	2
map                   	1088443226	0.8667	0.8333	0.7778	0.8667	0.2778	0.3000
ndcg_cut_01            	1088443226	1.0000	1.0000	1.0000	1.0000	0.0000	0.0000
ndcg_cut_02            	1088443226	1.0000	1.0000	1.0000	1.0000	0.3869	0.3869
ndcg_cut_03            	1088443226	0.8671	0.8671	0.8671	0.8671	0.3354	0.3354
ndcg_cut_04            	1088443226	0.8671	0.8671	0.8671	0.8671	0.3354	0.3354
