runid                 	all	drc-contextualized-partial	majority-hit	mh-simple-partial	mhw-contextualized-partial	ml-frequency	ml-simple-partial
num_q                 	all	39	39	39	39	39	39
num_ret               	all	760	780	760	760	780	760
num_rel               	all	420	420	420	420	420	420
num_rel_ret           	all	202	126	192	195	118	153
map                   	all	0.4629	0.2581	0.4361	0.4708	0.2396	0.3463
ndcg_cut_01            	all	0.7692	0.6026	0.7436	0.8205	0.5769	0.7436
ndcg_cut_02            	all	0.7024	0.4738	0.6834	0.7041	0.4988	0.6593
ndcg_cut_03            	all	0.6553	0.4246	0.6511	0.7129	0.4365	0.5993
ndcg_cut_04            	all	0.6404	0.4058	0.6180	0.6881	0.4047	0.5659
ndcg_cut_05            	all	0.6251	0.3920	0.6160	0.6737	0.3993	0.5557
ndcg_cut_06            	all	0.6322	0.3835	0.6064	0.6798	0.3976	0.5559
ndcg_cut_07            	all	0.6232	0.4010	0.6106	0.6732	0.4077	0.5510
ndcg_cut_08            	all	0.6234	0.4049	0.6042	0.6723	0.4091	0.5451
ndcg_cut_09            	all	0.6277	0.4035	0.6078	0.6634	0.4106	0.5454
ndcg_cut_10           	all	0.6301	0.4080	0.6046	0.6623	0.4053	0.5399
ndcg_cut_11           	all	0.6301	0.4073	0.6053	0.6641	0.4062	0.5383
ndcg_cut_12           	all	0.6331	0.4157	0.6106	0.6599	0.4084	0.5356
ndcg_cut_13           	all	0.6339	0.4119	0.6088	0.6584	0.4081	0.5323
ndcg_cut_14           	all	0.6326	0.4134	0.6168	0.6614	0.4126	0.5295
ndcg_cut_15           	all	0.6352	0.4122	0.6248	0.6600	0.4151	0.5365
ndcg_cut_16           	all	0.6395	0.4191	0.6219	0.6613	0.4168	0.5375
ndcg_cut_17           	all	0.6406	0.4193	0.6247	0.6652	0.4155	0.5387
ndcg_cut_18           	all	0.6448	0.4268	0.6248	0.6647	0.4159	0.5429
ndcg_cut_19           	all	0.6478	0.4336	0.6277	0.6648	0.4145	0.5452
ndcg_cut_20           	all	0.6507	0.4343	0.6305	0.6642	0.4149	0.5447
set_P                 	all	0.2654	0.1615	0.2525	0.2564	0.1513	0.2025
set_recall            	all	0.6753	0.4656	0.6407	0.6489	0.3835	0.5105
set_F                 	all	0.3369	0.2076	0.3185	0.3233	0.1914	0.2547
num_ret               	1011013747	20	20	20	20	20	20
num_rel               	1011013747	2	2	2	2	2	2
num_rel_ret           	1011013747	2	2	2	2	1	2
map                   	1011013747	1.0000	0.6429	1.0000	0.8333	0.5000	1.0000
ndcg_cut_01            	1011013747	0.5000	1.0000	0.5000	0.5000	1.0000	1.0000
ndcg_cut_02            	1011013747	0.8597	0.7602	0.8597	0.3801	0.7602	1.0000
ndcg_cut_03            	1011013747	0.8597	0.7602	0.8597	0.7602	0.7602	1.0000
ndcg_cut_04            	1011013747	0.8597	0.7602	0.8597	0.7602	0.7602	1.0000
ndcg_cut_05            	1011013747	0.8597	0.7602	0.8597	0.7602	0.7602	1.0000
ndcg_cut_06            	1011013747	0.8597	0.7602	0.8597	0.7602	0.7602	1.0000
ndcg_cut_07            	1011013747	0.8597	0.8869	0.8597	0.7602	0.7602	1.0000
ndcg_cut_08            	1011013747	0.8597	0.8869	0.8597	0.7602	0.7602	1.0000
ndcg_cut_09            	1011013747	0.8597	0.8869	0.8597	0.7602	0.7602	1.0000
ndcg_cut_10           	1011013747	0.8597	0.8869	0.8597	0.7602	0.7602	1.0000
ndcg_cut_11           	1011013747	0.8597	0.8869	0.8597	0.7602	0.7602	1.0000
ndcg_cut_12           	1011013747	0.8597	0.8869	0.8597	0.7602	0.7602	1.0000
