runid                 	all	drc-contextualized-partial	mh-simple-no	mh-simple-partial	mhw-contextualized-partial	ml-simple-no	ml-simple-partial
num_q                 	all	31	31	31	31	31	31
num_ret               	all	605	620	605	605	620	605
num_rel               	all	318	318	318	318	318	318
num_rel_ret           	all	184	119	174	169	115	136
map                   	all	0.5545	0.2984	0.4958	0.5180	0.2737	0.3908
ndcg_cut_01            	all	0.8065	0.6774	0.7742	0.8387	0.6613	0.7581
ndcg_cut_02            	all	0.7815	0.6088	0.7617	0.7888	0.6551	0.7081
ndcg_cut_03            	all	0.7577	0.5468	0.7426	0.7452	0.5607	0.6707
ndcg_cut_04            	all	0.7377	0.5153	0.7185	0.7342	0.5059	0.6307
ndcg_cut_05            	all	0.7295	0.4933	0.7016	0.7236	0.4770	0.6206
ndcg_cut_06            	all	0.7215	0.4748	0.6840	0.7001	0.4738	0.6042
ndcg_cut_07            	all	0.7169	0.4806	0.6784	0.7013	0.4725	0.5949
ndcg_cut_08            	all	0.7117	0.4786	0.6743	0.6991	0.4767	0.5861
ndcg_cut_09            	all	0.7058	0.4782	0.6733	0.6977	0.4741	0.5784
ndcg_cut_10           	all	0.7057	0.4905	0.6770	0.6943	0.4685	0.5762
ndcg_cut_11           	all	0.7017	0.4872	0.6781	0.6926	0.4688	0.5715
ndcg_cut_12           	all	0.7087	0.4873	0.6741	0.6893	0.4640	0.5685
ndcg_cut_13           	all	0.7034	0.4874	0.6796	0.6871	0.4645	0.5692
ndcg_cut_14           	all	0.7079	0.4847	0.6796	0.6890	0.4692	0.5679
ndcg_cut_15           	all	0.7113	0.4848	0.6773	0.6908	0.4708	0.5674
ndcg_cut_16           	all	0.7123	0.4831	0.6808	0.6885	0.4733	0.5693
ndcg_cut_17           	all	0.7110	0.4861	0.6805	0.6883	0.4755	0.5689
ndcg_cut_18           	all	0.7152	0.4873	0.6812	0.6880	0.4743	0.5752
ndcg_cut_19           	all	0.7171	0.4880	0.6840	0.6923	0.4751	0.5733
ndcg_cut_20           	all	0.7164	0.4877	0.6844	0.6935	0.4751	0.5724
set_P                 	all	0.3037	0.1919	0.2875	0.2795	0.1855	0.2262
set_recall            	all	0.7057	0.4452	0.6614	0.6517	0.4181	0.5286
set_F                 	all	0.3921	0.2455	0.3690	0.3602	0.2373	0.2926
num_ret               	1011013747	20	20	20	20	20	20
num_rel               	1011013747	4	4	4	4	4	4
num_rel_ret           	1011013747	4	4	4	4	2	4
map                   	1011013747	1.0000	0.4299	1.0000	0.9500	0.5000	1.0000
ndcg_cut_01            	1011013747	0.5000	0.0000	0.5000	0.5000	1.0000	1.0000
ndcg_cut_02            	1011013747	0.5000	0.3869	0.5000	0.5000	1.0000	1.0000
ndcg_cut_03            	1011013747	0.6994	0.3354	0.6994	0.6994	0.8671	1.0000
ndcg_cut_04            	1011013747	0.8330	0.3010	0.8330	0.6275	0.7780	1.0000
ndcg_cut_05            	1011013747	0.8330	0.4855	0.8330	0.8121	0.7780	1.0000
ndcg_cut_06            	1011013747	0.8330	0.4855	0.8330	0.8121	0.7780	1.0000
ndcg_cut_07            	1011013747	0.8330	0.4855	0.8330	0.8121	0.7780	1.0000
ndcg_cut_08            	1011013747	0.8330	0.5608	0.8330	0.8121	0.7780	1.0000
ndcg_cut_09            	1011013747	0.8330	0.6326	0.8330	0.8121	0.7780	1.0000
ndcg_cut_10           	1011013747	0.8330	0.6326	0.8330	0.8121	0.7780	1.0000
ndcg_cut_11           	1011013747	0.8330	0.6326	0.8330	0.8121	0.7780	1.0000
ndcg_cut_12           	1011013747	0.8330	0.6326	0.8330	0.8121	0.7780	1.0000
ndcg_cut_13           	1011013747	0.8330	0.6326	0.8330	0.8121	0.7780	1.0000
