runid                 	all	cml-with-partial-context	majority0.1	majority0.1	majority-with-partial-context0.1	majority-hit-jaccard	majority-hit-jaccard	majority-hit-jaccard-with-partial-context	majority-hit	majority-hit	majority-hit-with-partial-context	ml-frequency	ml-frequency	ml-frequency-with-partial-context	ml-jaccard	ml-jaccard	ml-jaccard-with-partial-context	ml-ngram	ml-ngram
num_q                 	all	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39
num_ret               	all	780	629	772	652	746	780	765	746	780	765	746	780	765	746	780	765	746	780
num_rel               	all	495	495	495	495	495	495	495	495	495	495	495	495	495	495	495	495	495	495
num_rel_ret           	all	48	204	130	208	208	221	225	202	147	226	171	154	179	177	159	182	170	144
map                   	all	0.0446	0.3399	0.1937	0.3490	0.4101	0.4359	0.4445	0.4053	0.2532	0.4374	0.3189	0.2467	0.3458	0.3523	0.3348	0.3630	0.3181	0.2349
iprec_at_recall_0.00  	all	0.2193	0.7721	0.4895	0.7904	0.8861	0.9188	0.9218	0.8947	0.7471	0.9229	0.8431	0.7825	0.8984	0.8574	0.8827	0.9063	0.8431	0.7466
iprec_at_recall_0.10  	all	0.1779	0.7240	0.4395	0.7385	0.8439	0.8667	0.8787	0.8672	0.6267	0.8845	0.8056	0.6771	0.8290	0.8327	0.8296	0.8597	0.8099	0.6459
iprec_at_recall_0.20  	all	0.0699	0.6054	0.3644	0.6180	0.7265	0.7598	0.7535	0.7205	0.5192	0.7694	0.5711	0.5434	0.6364	0.5997	0.6050	0.6625	0.5773	0.5202
iprec_at_recall_0.30  	all	0.0265	0.5105	0.2633	0.5151	0.5860	0.6416	0.6671	0.5839	0.3972	0.6557	0.4254	0.4019	0.4555	0.4656	0.4453	0.4779	0.4265	0.3728
iprec_at_recall_0.40  	all	0.0265	0.4021	0.2509	0.4349	0.4859	0.5374	0.5402	0.4666	0.2536	0.5446	0.3603	0.2517	0.3943	0.3942	0.3803	0.4026	0.3613	0.2292
