runid                 	all	cml-with-partial-context	majority0.1	majority0.1	majority-with-partial-context0.1	majority-hit-jaccard	majority-hit-jaccard	majority-hit-jaccard-with-partial-context	majority-hit-weighted-with-partial-context	majority-hit	majority-hit	majority-hit-with-partial-context	ml-frequency	ml-frequency	ml-frequency-with-partial-context	ml-jaccard	ml-jaccard	ml-jaccard-with-partial-context	ml-ngram	ml-ngram
num_q                 	all	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39
num_ret               	all	780	591	771	620	736	780	760	760	736	780	760	736	780	760	736	780	760	736	780
num_rel               	all	417	417	417	417	417	417	417	417	417	417	417	417	417	417	417	417	417	417	417
num_rel_ret           	all	11	173	111	180	172	187	192	192	171	127	193	146	118	157	147	137	158	146	118
map                   	all	0.0399	0.3562	0.2161	0.3765	0.4056	0.4412	0.4504	0.4504	0.4025	0.2592	0.4424	0.3417	0.2401	0.3762	0.3527	0.3438	0.3888	0.3416	0.2399
iprec_at_recall_0.00  	all	0.1154	0.7743	0.5141	0.7919	0.8858	0.9348	0.9280	0.9280	0.8835	0.7790	0.9298	0.8536	0.7518	0.9151	0.8523	0.8758	0.9169	0.8536	0.7507
iprec_at_recall_0.10  	all	0.1154	0.7062	0.4636	0.7291	0.7945	0.8430	0.8453	0.8453	0.8048	0.6274	0.8421	0.7416	0.6160	0.8052	0.7413	0.7496	0.8251	0.7416	0.6160
iprec_at_recall_0.20  	all	0.1068	0.6587	0.3860	0.6747	0.6928	0.7457	0.7669	0.7669	0.7083	0.4878	0.7695	0.5947	0.4850	0.6665	0.6021	0.6065	0.6851	0.5947	0.4836
iprec_at_recall_0.30  	all	0.0577	0.5074	0.3051	0.5591	0.5523	0.6380	0.6691	0.6691	0.5411	0.3421	0.6627	0.4446	0.3576	0.5346	0.4533	0.4714	0.5375	0.4484	0.3562
iprec_at_recall_0.40  	all	0.0491	0.3811	0.2619	0.4470	0.4519	0.5270	0.5191	0.5191	0.4311	0.2729	0.5138	0.3491	0.2299	0.3992	0.3600	0.3512	0.4027	0.3491	0.2279
iprec_at_recall_0.50  	all	0.0444	0.3122	0.2439	0.3622	0.3486	0.3862	0.3961	0.3961	0.3214	0.1909	0.3764	0.2581	0.1770	0.2902	0.2737	0.2600	0.3071	0.2573	0.1763
iprec_at_recall_0.60  	all	0.0039	0.2712	0.1613	0.2751	0.2710	0.2868	0.2973	0.2973	0.2547	0.1205	0.2739	0.2257	0.1031	0.2340	0.2415	0.2069	0.2453	0.2243	0.1038
iprec_at_recall_0.70  	all	0.0039	0.2538	0.1472	0.2468	0.2538	0.2567	0.2648	0.2648	0.2408	0.1205	0.2472	0.2101	0.0969	0.2166	0.2233	0.1870	0.2264	0.2091	0.0969
iprec_at_recall_0.80  	all	0.0039	0.1778	0.1000	0.1773	0.1974	0.2120	0.2142	0.2142	0.1924	0.0941	0.2100	0.1395	0.0738	0.1612	0.1790	0.1742	0.1836	0.1385	0.0738
iprec_at_recall_0.90  	all	0.0039	0.1096	0.0536	0.1160	0.1429	0.1661	0.1731	0.1731	0.1536	0.0681	0.1712	0.1117	0.0359	0.1288	0.1279	0.1238	0.1545	0.1107	0.0359
iprec_at_recall_1.00  	all	0.0039	0.1096	0.0536	0.1160	0.1429	0.1661	0.1731	0.1731	0.1536	0.0681	0.1712	0.1117	0.0359	0.1288	0.1279	0.1238	0.1545	0.1107	0.0359
ndcg_cut_01            	all	0.0641	0.4487	0.2436	0.4615	0.7179	0.7564	0.7436	0.7436	0.6923	0.5641	0.7308	0.6538	0.5513	0.7308	0.6410	0.6923	0.7179	0.6538	0.5513
ndcg_cut_02            	all	0.0492	0.4884	0.2743	0.4733	0.6634	0.6969	0.6841	0.6841	0.6378	0.4540	0.6663	0.6005	0.4781	0.6495	0.6007	0.6519	0.6516	0.6005	0.4781
ndcg_cut_03            	all	0.0503	0.5037	0.2731	0.4837	0.5962	0.6354	0.6319	0.6319	0.6117	0.4098	0.6337	0.5687	0.4198	0.6078	0.5721	0.5939	0.6435	0.5687	0.4198
ndcg_cut_04            	all	0.0471	0.5150	0.2900	0.4890	0.5833	0.6102	0.6132	0.6132	0.5825	0.3936	0.6047	0.5509	0.3934	0.5785	0.5599	0.5798	0.6231	0.5583	0.3934
