runid                 	all	cml-with-partial-context	majority0.1	majority0.1	majority-with-partial-context0.1	majority-hit-jaccard	majority-hit-jaccard	majority-hit-jaccard-with-partial-context	majority-hit-weighted-with-partial-context	majority-hit	majority-hit	majority-hit-with-partial-context	ml-frequency	ml-frequency	ml-frequency-with-partial-context	ml-jaccard	ml-jaccard	ml-jaccard-with-partial-context	ml-ngram	ml-ngram
num_q                 	all	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16
num_ret               	all	505	68	207	68	252	505	252	505	252	505	252	252	505	252	252	505	252	252	505
num_rel               	all	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16
num_rel_ret           	all	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16
recip_rank            	all	0.2852	0.7677	0.3604	0.7365	0.8073	0.8073	0.8073	0.2852	0.7260	0.2028	0.7260	0.7755	0.2854	0.7443	0.8172	0.8160	0.8172	0.7443	0.2854
num_ret               	1101244490	40	6	21	6	19	40	19	40	19	40	19	19	40	19	19	40	19	19	40
num_rel               	1101244490	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
num_rel_ret           	1101244490	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
recip_rank            	1101244490	0.0250	0.2500	0.1250	0.2500	1.0000	1.0000	1.0000	0.0250	1.0000	0.5000	1.0000	1.0000	0.5000	1.0000	1.0000	1.0000	1.0000	1.0000	0.5000
num_ret               	1101244518	45	5	12	5	24	45	24	45	24	45	24	24	45	24	24	45	24	24	45
num_rel               	1101244518	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
num_rel_ret           	1101244518	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
recip_rank            	1101244518	0.0222	1.0000	0.5000	1.0000	1.0000	1.0000	1.0000	0.0222	1.0000	0.1000	1.0000	0.0417	0.0222	0.0417	0.0417	0.0222	0.0417	0.0417	0.0222
num_ret               	1101244520	25	4	6	4	10	25	10	25	10	25	10	10	25	10	10	25	10	10	25
num_rel               	1101244520	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
num_rel_ret           	1101244520	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
recip_rank            	1101244520	0.0400	0.2500	0.2000	0.2500	0.3333	0.3333	0.3333	0.0400	0.2500	0.0833	0.2500	0.3333	0.2000	0.3333	0.5000	0.5000	0.5000	0.3333	0.2000
num_ret               	1101244607	47	5	12	5	29	47	29	47	29	47	29	29	47	29	29	47	29	29	47
