runid                 	all	drc-contextualized-partial	mh-simple-no	mh-simple-partial	mhw-contextualized-partial	ml-simple-no	ml-simple-partial
num_q                 	all	38	38	38	38	38	38
num_ret               	all	183	186	183	183	186	183
num_rel               	all	38	38	38	38	38	38
num_rel_ret           	all	31	15	31	31	22	27
recip_rank            	all	0.7588	0.1785	0.5943	0.7237	0.2311	0.6009
set_P                 	all	0.1667	0.0789	0.1667	0.1667	0.1158	0.1456
set_recall            	all	0.8158	0.3947	0.8158	0.8158	0.5789	0.7105
set_F                 	all	0.2763	0.1316	0.2763	0.2763	0.1930	0.2412
num_ret               	1091252157	5	5	5	5	5	5
num_rel               	1091252157	1	1	1	1	1	1
num_rel_ret           	1091252157	0	0	0	0	0	0
recip_rank            	1091252157	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
set_P                 	1091252157	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
set_recall            	1091252157	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
set_F                 	1091252157	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
num_ret               	1091252159	4	5	4	4	5	4
num_rel               	1091252159	1	1	1	1	1	1
num_rel_ret           	1091252159	0	0	0	0	0	0
recip_rank            	1091252159	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
set_P                 	1091252159	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
set_recall            	1091252159	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
set_F                 	1091252159	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
num_ret               	1091252161	5	5	5	5	5	5
num_rel               	1091252161	1	1	1	1	1	1
num_rel_ret           	1091252161	1	0	1	1	1	1
recip_rank            	1091252161	1.0000	0.0000	1.0000	1.0000	0.2500	1.0000
set_P                 	1091252161	0.2000	0.0000	0.2000	0.2000	0.2000	0.2000
set_recall            	1091252161	1.0000	0.0000	1.0000	1.0000	1.0000	1.0000
set_F                 	1091252161	0.3333	0.0000	0.3333	0.3333	0.3333	0.3333
num_ret               	1091252221	5	5	5	5	5	5
num_rel               	1091252221	1	1	1	1	1	1
num_rel_ret           	1091252221	0	0	0	0	0	0
recip_rank            	1091252221	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
set_P                 	1091252221	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
set_recall            	1091252221	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
set_F                 	1091252221	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
num_ret               	1158179816	5	5	5	5	5	5
num_rel               	1158179816	1	1	1	1	1	1
