runid                 	all	drc-contextualized-partial	mh-simple-no	mh-simple-partial	mhw-contextualized-partial	ml-simple-no	ml-simple-partial
num_q                 	all	83	83	83	83	83	83
num_ret               	all	405	411	405	405	411	405
num_rel               	all	83	83	83	83	83	83
num_rel_ret           	all	76	43	75	76	66	72
recip_rank            	all	0.8799	0.1851	0.7554	0.8645	0.3689	0.8076
set_P                 	all	0.1884	0.1036	0.1859	0.1884	0.1590	0.1787
set_recall            	all	0.9157	0.5181	0.9036	0.9157	0.7952	0.8675
set_F                 	all	0.3112	0.1727	0.3072	0.3112	0.2651	0.2952
num_ret               	1091252157	5	5	5	5	5	5
num_rel               	1091252157	1	1	1	1	1	1
num_rel_ret           	1091252157	0	0	0	0	0	0
recip_rank            	1091252157	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
set_P                 	1091252157	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
set_recall            	1091252157	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
set_F                 	1091252157	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
num_ret               	1091252159	4	5	4	4	5	4
num_rel               	1091252159	1	1	1	1	1	1
num_rel_ret           	1091252159	0	0	0	0	0	0
recip_rank            	1091252159	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
set_P                 	1091252159	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
set_recall            	1091252159	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
set_F                 	1091252159	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
num_ret               	1091252161	5	5	5	5	5	5
num_rel               	1091252161	1	1	1	1	1	1
num_rel_ret           	1091252161	1	0	1	1	1	1
recip_rank            	1091252161	1.0000	0.0000	1.0000	1.0000	0.2500	1.0000
set_P                 	1091252161	0.2000	0.0000	0.2000	0.2000	0.2000	0.2000
set_recall            	1091252161	1.0000	0.0000	1.0000	1.0000	1.0000	1.0000
set_F                 	1091252161	0.3333	0.0000	0.3333	0.3333	0.3333	0.3333
num_ret               	1091252221	5	5	5	5	5	5
num_rel               	1091252221	1	1	1	1	1	1
num_rel_ret           	1091252221	0	0	0	0	0	0
recip_rank            	1091252221	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
set_P                 	1091252221	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
set_recall            	1091252221	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
set_F                 	1091252221	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
num_ret               	1113646317	5	5	5	5	5	5
num_rel               	1113646317	1	1	1	1	1	1
num_rel_ret           	1113646317	1	0	1	1	0	1
recip_rank            	1113646317	0.2000	0.0000	0.2000	0.2500	0.0000	0.2000
set_P                 	1113646317	0.2000	0.0000	0.2000	0.2000	0.0000	0.2000
set_recall            	1113646317	1.0000	0.0000	1.0000	1.0000	0.0000	1.0000
set_F                 	1113646317	0.3333	0.0000	0.3333	0.3333	0.0000	0.3333
num_ret               	1113646318	5	5	5	5	5	5
num_rel               	1113646318	1	1	1	1	1	1
num_rel_ret           	1113646318	1	0	1	1	1	1
recip_rank            	1113646318	1.0000	0.0000	0.5000	1.0000	0.5000	1.0000
