runid                 	all	mh-contextualized-complete	mh-contextualized-no	mh-contextualized-partial	mh-simple-complete	mh-simple-no	mh-simple-partial	mhsw-contextualized-complete	mhsw-contextualized-no	mhsw-contextualized-partial	mhsw-simple-complete	mhsw-simple-no	mhsw-simple-partial	mhw-contextualized-complete	mhw-contextualized-no	mhw-contextualized-partial	mhwcv-contextualized-complete	mhwcv-contextualized-no	mhwcv-contextualized-partial	mhwcv-simple-complete	mhwcv-simple-no	mhwcv-simple-partial	mhw-simple-complete	mhw-simple-no	mhw-simple-partial	mhwv-contextualized-complete	mhwv-contextualized-no	mhwv-contextualized-partial	mhwv-simple-complete	mhwv-simple-no	mhwv-simple-partial	ml-contextualized-complete	ml-contextualized-no	ml-contextualized-partial	ml-simple-complete	ml-simple-no	ml-simple-partial
num_q                 	all	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38
num_ret               	all	153	186	153	153	186	153	153	186	153	153	186	153	153	186	153	153	186	153	153	186	153	153	186	153	153	186	153	153	186	153	153	186	153	153	186	153
num_rel               	all	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38
num_rel_ret           	all	31	31	31	31	15	31	31	31	31	31	31	31	31	31	31	29	29	29	29	20	29	31	25	31	29	29	29	28	17	28	28	28	28	28	22	28
recip_rank            	all	0.7039	0.7039	0.7039	0.6930	0.1763	0.6930	0.7149	0.7149	0.7149	0.7325	0.6706	0.7325	0.7149	0.7149	0.7149	0.6557	0.6557	0.6557	0.6557	0.3408	0.6557	0.7368	0.3833	0.7368	0.6566	0.6566	0.6566	0.5921	0.2307	0.5921	0.6930	0.6930	0.6930	0.7018	0.2342	0.7018
set_P                 	all	0.2930	0.1632	0.2930	0.2930	0.0789	0.2930	0.2930	0.1632	0.2930	0.2930	0.1632	0.2930	0.2930	0.1632	0.2930	0.2825	0.1526	0.2825	0.2825	0.1053	0.2825	0.2930	0.1316	0.2930	0.2825	0.1526	0.2825	0.2772	0.0895	0.2772	0.2772	0.1474	0.2772	0.2772	0.1158	0.2772
set_recall            	all	0.8158	0.8158	0.8158	0.8158	0.3947	0.8158	0.8158	0.8158	0.8158	0.8158	0.8158	0.8158	0.8158	0.8158	0.8158	0.7632	0.7632	0.7632	0.7632	0.5263	0.7632	0.8158	0.6579	0.8158	0.7632	0.7632	0.7632	0.7368	0.4474	0.7368	0.7368	0.7368	0.7368	0.7368	0.5789	0.7368
set_F                 	all	0.3886	0.2719	0.3886	0.3886	0.1316	0.3886	0.3886	0.2719	0.3886	0.3886	0.2719	0.3886	0.3886	0.2719	0.3886	0.3711	0.2544	0.3711	0.3711	0.1754	0.3711	0.3886	0.2193	0.3886	0.3711	0.2544	0.3711	0.3623	0.1491	0.3623	0.3623	0.2456	0.3623	0.3623	0.1930	0.3623
num_ret               	1007969923	2	5	2	2	5	2	2	5	2	2	5	2	2	5	2	2	5	2	2	5	2	2	5	2	2	5	2	2	5	2	2	5	2	2	5	2
num_rel               	1007969923	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
num_rel_ret           	1007969923	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
