runid                 	all	mh-contextualized-complete	mh-contextualized-no	mh-contextualized-partial	mh-simple-complete	mh-simple-no	mh-simple-partial	mhw-contextualized-complete	mhw-contextualized-no	mhw-contextualized-partial	mhwcv-contextualized-complete	mhwcv-contextualized-no	mhwcv-contextualized-partial	mhwcv-simple-complete	mhwcv-simple-no	mhwcv-simple-partial	mhw-simple-complete	mhw-simple-no	mhw-simple-partial	mhwv-contextualized-complete	mhwv-contextualized-no	mhwv-contextualized-partial	mhwv-simple-complete	mhwv-simple-no	mhwv-simple-partial	ml-contextualized-complete	ml-contextualized-no	ml-contextualized-partial	ml-simple-complete	ml-simple-no	ml-simple-partial
num_q                 	all	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83
num_ret               	all	793	1467	793	793	1467	793	793	1467	793	793	1467	793	793	1467	793	793	1467	793	793	1467	793	793	1467	793	793	1467	793	793	1467	793
num_rel               	all	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83
num_rel_ret           	all	79	81	79	79	73	79	79	81	79	79	81	79	79	78	79	79	78	79	79	81	79	79	74	79	76	75	76	76	71	76
recip_rank            	all	0.8311	0.8335	0.8311	0.8353	0.2264	0.8353	0.8675	0.8699	0.8675	0.8266	0.8290	0.8266	0.8246	0.5228	0.8246	0.8765	0.4452	0.8765	0.7937	0.7961	0.7937	0.7545	0.3679	0.7545	0.8557	0.8558	0.8557	0.8597	0.3780	0.8597
num_ret               	1007969923	2	17	2	2	17	2	2	17	2	2	17	2	2	17	2	2	17	2	2	17	2	2	17	2	2	17	2	2	17	2
num_rel               	1007969923	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
num_rel_ret           	1007969923	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
recip_rank            	1007969923	1.0000	1.0000	1.0000	1.0000	0.3333	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	0.3333	1.0000	1.0000	1.0000	1.0000	1.0000	0.3333	1.0000
num_ret               	1007969926	4	12	4	4	12	4	4	12	4	4	12	4	4	12	4	4	12	4	4	12	4	4	12	4	4	12	4	4	12	4
num_rel               	1007969926	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
num_rel_ret           	1007969926	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
recip_rank            	1007969926	1.0000	1.0000	1.0000	1.0000	0.3333	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	0.2500	1.0000	1.0000	1.0000	1.0000	1.0000	0.3333	1.0000
num_ret               	1182288969	10	20	10	10	20	10	10	20	10	10	20	10	10	20	10	10	20	10	10	20	10	10	20	10	10	20	10	10	20	10
num_rel               	1182288969	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
num_rel_ret           	1182288969	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1
recip_rank            	1182288969	1.0000	1.0000	1.0000	1.0000	0.1000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	0.1429	1.0000	1.0000	0.3333	1.0000	1.0000	1.0000	1.0000	1.0000	0.1111	1.0000	1.0000	1.0000	1.0000	1.0000	0.0000	1.0000
num_ret               	1182289026	6	14	6	6	14	6	6	14	6	6	14	6	6	14	6	6	14	6	6	14	6	6	14	6	6	14	6	6	14	6
num_rel               	1182289026	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
num_rel_ret           	1182289026	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
recip_rank            	1182289026	1.0000	1.0000	1.0000	1.0000	0.3333	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	0.5000	1.0000	1.0000	1.0000	1.0000	1.0000	0.3333	1.0000
num_ret               	1182289031	5	13	5	5	13	5	5	13	5	5	13	5	5	13	5	5	13	5	5	13	5	5	13	5	5	13	5	5	13	5
num_rel               	1182289031	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
num_rel_ret           	1182289031	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
