runid                 	all	drc-contextualized-partial	mh-simple-no	mh-simple-partial	mhw-contextualized-partial	ml-simple-no	ml-simple-partial
num_q                 	all	45	45	45	45	45	45
num_ret               	all	217	225	217	217	225	217
num_rel               	all	45	45	45	45	45	45
num_rel_ret           	all	45	28	45	45	44	45
recip_rank            	all	0.9889	0.1907	0.9630	0.9889	0.4852	0.9889
set_P                 	all	0.2130	0.1244	0.2130	0.2130	0.1956	0.2130
set_recall            	all	1.0000	0.6222	1.0000	1.0000	0.9778	1.0000
set_F                 	all	0.3489	0.2074	0.3489	0.3489	0.3259	0.3489
num_ret               	440243983	4	5	4	4	5	4
num_rel               	440243983	1	1	1	1	1	1
num_rel_ret           	440243983	1	1	1	1	1	1
recip_rank            	440243983	1.0000	0.5000	1.0000	1.0000	0.5000	1.0000
set_P                 	440243983	0.2500	0.2000	0.2500	0.2500	0.2000	0.2500
set_recall            	440243983	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
set_F                 	440243983	0.4000	0.3333	0.4000	0.4000	0.3333	0.4000
num_ret               	440243985	5	5	5	5	5	5
num_rel               	440243985	1	1	1	1	1	1
num_rel_ret           	440243985	1	0	1	1	1	1
recip_rank            	440243985	1.0000	0.0000	1.0000	1.0000	0.5000	1.0000
set_P                 	440243985	0.2000	0.0000	0.2000	0.2000	0.2000	0.2000
set_recall            	440243985	1.0000	0.0000	1.0000	1.0000	1.0000	1.0000
set_F                 	440243985	0.3333	0.0000	0.3333	0.3333	0.3333	0.3333
num_ret               	440243987	4	5	4	4	5	4
num_rel               	440243987	1	1	1	1	1	1
num_rel_ret           	440243987	1	1	1	1	1	1
recip_rank            	440243987	1.0000	0.5000	1.0000	1.0000	0.5000	1.0000
set_P                 	440243987	0.2500	0.2000	0.2500	0.2500	0.2000	0.2500
set_recall            	440243987	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
set_F                 	440243987	0.4000	0.3333	0.4000	0.4000	0.3333	0.4000
num_ret               	440243989	5	5	5	5	5	5
num_rel               	440243989	1	1	1	1	1	1
num_rel_ret           	440243989	1	1	1	1	1	1
recip_rank            	440243989	1.0000	0.3333	1.0000	1.0000	0.5000	1.0000
set_P                 	440243989	0.2000	0.2000	0.2000	0.2000	0.2000	0.2000
set_recall            	440243989	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
set_F                 	440243989	0.3333	0.3333	0.3333	0.3333	0.3333	0.3333
num_ret               	440243991	5	5	5	5	5	5
num_rel               	440243991	1	1	1	1	1	1
num_rel_ret           	440243991	1	1	1	1	1	1
recip_rank            	440243991	1.0000	0.2000	1.0000	1.0000	0.5000	1.0000
set_P                 	440243991	0.2000	0.2000	0.2000	0.2000	0.2000	0.2000
set_recall            	440243991	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
set_F                 	440243991	0.3333	0.3333	0.3333	0.3333	0.3333	0.3333
num_ret               	440244014	5	5	5	5	5	5
num_rel               	440244014	1	1	1	1	1	1
num_rel_ret           	440244014	1	1	1	1	1	1
recip_rank            	440244014	1.0000	0.2500	1.0000	1.0000	0.5000	1.0000
set_P                 	440244014	0.2000	0.2000	0.2000	0.2000	0.2000	0.2000
set_recall            	440244014	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
set_F                 	440244014	0.3333	0.3333	0.3333	0.3333	0.3333	0.3333
num_ret               	440244016	5	5	5	5	5	5
num_rel               	440244016	1	1	1	1	1	1
num_rel_ret           	440244016	1	1	1	1	1	1
recip_rank            	440244016	1.0000	0.3333	1.0000	1.0000	0.5000	1.0000
set_P                 	440244016	0.2000	0.2000	0.2000	0.2000	0.2000	0.2000
set_recall            	440244016	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
set_F                 	440244016	0.3333	0.3333	0.3333	0.3333	0.3333	0.3333
num_ret               	440244050	5	5	5	5	5	5
num_rel               	440244050	1	1	1	1	1	1
num_rel_ret           	440244050	1	1	1	1	1	1
recip_rank            	440244050	1.0000	0.2000	1.0000	1.0000	0.5000	1.0000
set_P                 	440244050	0.2000	0.2000	0.2000	0.2000	0.2000	0.2000
set_recall            	440244050	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
set_F                 	440244050	0.3333	0.3333	0.3333	0.3333	0.3333	0.3333
num_ret               	440244052	5	5	5	5	5	5
num_rel               	440244052	1	1	1	1	1	1
num_rel_ret           	440244052	1	0	1	1	1	1
recip_rank            	440244052	1.0000	0.0000	1.0000	1.0000	0.5000	1.0000
set_P                 	440244052	0.2000	0.0000	0.2000	0.2000	0.2000	0.2000
set_recall            	440244052	1.0000	0.0000	1.0000	1.0000	1.0000	1.0000
set_F                 	440244052	0.3333	0.0000	0.3333	0.3333	0.3333	0.3333
num_ret               	440244075	3	5	3	3	5	3
num_rel               	440244075	1	1	1	1	1	1
num_rel_ret           	440244075	1	0	1	1	1	1
recip_rank            	440244075	1.0000	0.0000	1.0000	1.0000	0.5000	1.0000
set_P                 	440244075	0.3333	0.0000	0.3333	0.3333	0.2000	0.3333
set_recall            	440244075	1.0000	0.0000	1.0000	1.0000	1.0000	1.0000
set_F                 	440244075	0.5000	0.0000	0.5000	0.5000	0.3333	0.5000
num_ret               	440244077	5	5	5	5	5	5
num_rel               	440244077	1	1	1	1	1	1
num_rel_ret           	440244077	1	0	1	1	1	1
recip_rank            	440244077	1.0000	0.0000	1.0000	1.0000	0.5000	1.0000
set_P                 	440244077	0.2000	0.0000	0.2000	0.2000	0.2000	0.2000
set_recall            	440244077	1.0000	0.0000	1.0000	1.0000	1.0000	1.0000
set_F                 	440244077	0.3333	0.0000	0.3333	0.3333	0.3333	0.3333
num_ret               	440244079	5	5	5	5	5	5
num_rel               	440244079	1	1	1	1	1	1
num_rel_ret           	440244079	1	1	1	1	1	1
recip_rank            	440244079	1.0000	0.3333	1.0000	1.0000	0.5000	1.0000
set_P                 	440244079	0.2000	0.2000	0.2000	0.2000	0.2000	0.2000
set_recall            	440244079	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
set_F                 	440244079	0.3333	0.3333	0.3333	0.3333	0.3333	0.3333
num_ret               	440244106	5	5	5	5	5	5
num_rel               	440244106	1	1	1	1	1	1
num_rel_ret           	440244106	1	1	1	1	1	1
recip_rank            	440244106	1.0000	0.2000	1.0000	1.0000	0.5000	1.0000
set_P                 	440244106	0.2000	0.2000	0.2000	0.2000	0.2000	0.2000
set_recall            	440244106	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
set_F                 	440244106	0.3333	0.3333	0.3333	0.3333	0.3333	0.3333
num_ret               	440244108	5	5	5	5	5	5
num_rel               	440244108	1	1	1	1	1	1
num_rel_ret           	440244108	1	1	1	1	1	1
recip_rank            	440244108	1.0000	0.3333	1.0000	1.0000	0.5000	1.0000
set_P                 	440244108	0.2000	0.2000	0.2000	0.2000	0.2000	0.2000
set_recall            	440244108	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
set_F                 	440244108	0.3333	0.3333	0.3333	0.3333	0.3333	0.3333
num_ret               	440244110	5	5	5	5	5	5
num_rel               	440244110	1	1	1	1	1	1
num_rel_ret           	440244110	1	1	1	1	1	1
recip_rank            	440244110	1.0000	0.2000	1.0000	1.0000	0.5000	1.0000
set_P                 	440244110	0.2000	0.2000	0.2000	0.2000	0.2000	0.2000
set_recall            	440244110	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
set_F                 	440244110	0.3333	0.3333	0.3333	0.3333	0.3333	0.3333
num_ret               	440244112	5	5	5	5	5	5
num_rel               	440244112	1	1	1	1	1	1
num_rel_ret           	440244112	1	1	1	1	1	1
recip_rank            	440244112	1.0000	0.3333	1.0000	1.0000	0.5000	1.0000
set_P                 	440244112	0.2000	0.2000	0.2000	0.2000	0.2000	0.2000
set_recall            	440244112	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
set_F                 	440244112	0.3333	0.3333	0.3333	0.3333	0.3333	0.3333
num_ret               	440244114	5	5	5	5	5	5
num_rel               	440244114	1	1	1	1	1	1
num_rel_ret           	440244114	1	1	1	1	1	1
recip_rank            	440244114	1.0000	0.3333	1.0000	1.0000	0.5000	1.0000
set_P                 	440244114	0.2000	0.2000	0.2000	0.2000	0.2000	0.2000
set_recall            	440244114	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
set_F                 	440244114	0.3333	0.3333	0.3333	0.3333	0.3333	0.3333
num_ret               	440244137	5	5	5	5	5	5
num_rel               	440244137	1	1	1	1	1	1
num_rel_ret           	440244137	1	1	1	1	1	1
recip_rank            	440244137	1.0000	0.2000	1.0000	1.0000	0.5000	1.0000
set_P                 	440244137	0.2000	0.2000	0.2000	0.2000	0.2000	0.2000
set_recall            	440244137	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
set_F                 	440244137	0.3333	0.3333	0.3333	0.3333	0.3333	0.3333
num_ret               	440244139	5	5	5	5	5	5
num_rel               	440244139	1	1	1	1	1	1
num_rel_ret           	440244139	1	1	1	1	1	1
recip_rank            	440244139	1.0000	0.3333	1.0000	1.0000	0.5000	1.0000
set_P                 	440244139	0.2000	0.2000	0.2000	0.2000	0.2000	0.2000
set_recall            	440244139	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
set_F                 	440244139	0.3333	0.3333	0.3333	0.3333	0.3333	0.3333
num_ret               	440244141	5	5	5	5	5	5
num_rel               	440244141	1	1	1	1	1	1
num_rel_ret           	440244141	1	0	1	1	1	1
recip_rank            	440244141	1.0000	0.0000	1.0000	1.0000	0.5000	1.0000
set_P                 	440244141	0.2000	0.0000	0.2000	0.2000	0.2000	0.2000
set_recall            	440244141	1.0000	0.0000	1.0000	1.0000	1.0000	1.0000
set_F                 	440244141	0.3333	0.0000	0.3333	0.3333	0.3333	0.3333
num_ret               	440244143	5	5	5	5	5	5
num_rel               	440244143	1	1	1	1	1	1
num_rel_ret           	440244143	1	1	1	1	1	1
recip_rank            	440244143	1.0000	0.3333	1.0000	1.0000	0.5000	1.0000
set_P                 	440244143	0.2000	0.2000	0.2000	0.2000	0.2000	0.2000
set_recall            	440244143	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
set_F                 	440244143	0.3333	0.3333	0.3333	0.3333	0.3333	0.3333
num_ret               	440244145	5	5	5	5	5	5
num_rel               	440244145	1	1	1	1	1	1
num_rel_ret           	440244145	1	1	1	1	1	1
recip_rank            	440244145	1.0000	0.3333	1.0000	1.0000	0.5000	1.0000
set_P                 	440244145	0.2000	0.2000	0.2000	0.2000	0.2000	0.2000
set_recall            	440244145	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
set_F                 	440244145	0.3333	0.3333	0.3333	0.3333	0.3333	0.3333
num_ret               	440244168	5	5	5	5	5	5
num_rel               	440244168	1	1	1	1	1	1
num_rel_ret           	440244168	1	1	1	1	1	1
recip_rank            	440244168	1.0000	0.2000	1.0000	1.0000	0.5000	1.0000
set_P                 	440244168	0.2000	0.2000	0.2000	0.2000	0.2000	0.2000
set_recall            	440244168	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
set_F                 	440244168	0.3333	0.3333	0.3333	0.3333	0.3333	0.3333
num_ret               	440244170	5	5	5	5	5	5
num_rel               	440244170	1	1	1	1	1	1
num_rel_ret           	440244170	1	1	1	1	1	1
recip_rank            	440244170	1.0000	0.3333	1.0000	1.0000	0.5000	1.0000
set_P                 	440244170	0.2000	0.2000	0.2000	0.2000	0.2000	0.2000
set_recall            	440244170	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
set_F                 	440244170	0.3333	0.3333	0.3333	0.3333	0.3333	0.3333
num_ret               	440244172	5	5	5	5	5	5
num_rel               	440244172	1	1	1	1	1	1
num_rel_ret           	440244172	1	1	1	1	1	1
recip_rank            	440244172	1.0000	0.2000	1.0000	1.0000	0.5000	1.0000
set_P                 	440244172	0.2000	0.2000	0.2000	0.2000	0.2000	0.2000
set_recall            	440244172	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
set_F                 	440244172	0.3333	0.3333	0.3333	0.3333	0.3333	0.3333
num_ret               	440244174	5	5	5	5	5	5
num_rel               	440244174	1	1	1	1	1	1
num_rel_ret           	440244174	1	0	1	1	1	1
recip_rank            	440244174	1.0000	0.0000	1.0000	1.0000	0.5000	1.0000
set_P                 	440244174	0.2000	0.0000	0.2000	0.2000	0.2000	0.2000
set_recall            	440244174	1.0000	0.0000	1.0000	1.0000	1.0000	1.0000
set_F                 	440244174	0.3333	0.0000	0.3333	0.3333	0.3333	0.3333
num_ret               	440244176	5	5	5	5	5	5
num_rel               	440244176	1	1	1	1	1	1
num_rel_ret           	440244176	1	0	1	1	1	1
recip_rank            	440244176	1.0000	0.0000	0.3333	1.0000	0.5000	1.0000
set_P                 	440244176	0.2000	0.0000	0.2000	0.2000	0.2000	0.2000
set_recall            	440244176	1.0000	0.0000	1.0000	1.0000	1.0000	1.0000
set_F                 	440244176	0.3333	0.0000	0.3333	0.3333	0.3333	0.3333
num_ret               	440244199	5	5	5	5	5	5
num_rel               	440244199	1	1	1	1	1	1
num_rel_ret           	440244199	1	1	1	1	1	1
recip_rank            	440244199	1.0000	0.3333	1.0000	1.0000	0.5000	1.0000
set_P                 	440244199	0.2000	0.2000	0.2000	0.2000	0.2000	0.2000
set_recall            	440244199	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
set_F                 	440244199	0.3333	0.3333	0.3333	0.3333	0.3333	0.3333
num_ret               	440244201	5	5	5	5	5	5
num_rel               	440244201	1	1	1	1	1	1
num_rel_ret           	440244201	1	0	1	1	1	1
recip_rank            	440244201	1.0000	0.0000	0.5000	1.0000	0.5000	1.0000
set_P                 	440244201	0.2000	0.0000	0.2000	0.2000	0.2000	0.2000
set_recall            	440244201	1.0000	0.0000	1.0000	1.0000	1.0000	1.0000
set_F                 	440244201	0.3333	0.0000	0.3333	0.3333	0.3333	0.3333
num_ret               	440244203	5	5	5	5	5	5
num_rel               	440244203	1	1	1	1	1	1
num_rel_ret           	440244203	1	1	1	1	1	1
recip_rank            	440244203	1.0000	0.2000	1.0000	1.0000	0.5000	1.0000
set_P                 	440244203	0.2000	0.2000	0.2000	0.2000	0.2000	0.2000
set_recall            	440244203	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
set_F                 	440244203	0.3333	0.3333	0.3333	0.3333	0.3333	0.3333
num_ret               	440244205	5	5	5	5	5	5
num_rel               	440244205	1	1	1	1	1	1
num_rel_ret           	440244205	1	0	1	1	1	1
recip_rank            	440244205	1.0000	0.0000	1.0000	1.0000	0.5000	1.0000
set_P                 	440244205	0.2000	0.0000	0.2000	0.2000	0.2000	0.2000
set_recall            	440244205	1.0000	0.0000	1.0000	1.0000	1.0000	1.0000
set_F                 	440244205	0.3333	0.0000	0.3333	0.3333	0.3333	0.3333
num_ret               	440244230	5	5	5	5	5	5
num_rel               	440244230	1	1	1	1	1	1
num_rel_ret           	440244230	1	0	1	1	1	1
recip_rank            	440244230	1.0000	0.0000	1.0000	1.0000	0.5000	1.0000
set_P                 	440244230	0.2000	0.0000	0.2000	0.2000	0.2000	0.2000
set_recall            	440244230	1.0000	0.0000	1.0000	1.0000	1.0000	1.0000
set_F                 	440244230	0.3333	0.0000	0.3333	0.3333	0.3333	0.3333
num_ret               	527735706	5	5	5	5	5	5
num_rel               	527735706	1	1	1	1	1	1
num_rel_ret           	527735706	1	0	1	1	1	1
recip_rank            	527735706	1.0000	0.0000	1.0000	1.0000	0.5000	1.0000
set_P                 	527735706	0.2000	0.0000	0.2000	0.2000	0.2000	0.2000
