runid                 	all	drc-contextualized-partial	mh-simple-no	mh-simple-partial	mhw-contextualized-partial	ml-simple-no	ml-simple-partial
num_q                 	all	45	45	45	45	45	45
num_ret               	all	222	225	222	222	225	222
num_rel               	all	45	45	45	45	45	45
num_rel_ret           	all	45	28	44	45	44	45
recip_rank            	all	0.9822	0.1907	0.8915	0.9833	0.4852	0.9822
set_P                 	all	0.2067	0.1244	0.2022	0.2067	0.1956	0.2067
set_recall            	all	1.0000	0.6222	0.9778	1.0000	0.9778	1.0000
set_F                 	all	0.3407	0.2074	0.3333	0.3407	0.3259	0.3407
num_ret               	1113646317	5	5	5	5	5	5
num_rel               	1113646317	1	1	1	1	1	1
num_rel_ret           	1113646317	1	0	1	1	0	1
recip_rank            	1113646317	0.2000	0.0000	0.2000	0.2500	0.0000	0.2000
set_P                 	1113646317	0.2000	0.0000	0.2000	0.2000	0.0000	0.2000
set_recall            	1113646317	1.0000	0.0000	1.0000	1.0000	0.0000	1.0000
set_F                 	1113646317	0.3333	0.0000	0.3333	0.3333	0.0000	0.3333
num_ret               	1113646318	5	5	5	5	5	5
num_rel               	1113646318	1	1	1	1	1	1
num_rel_ret           	1113646318	1	0	1	1	1	1
recip_rank            	1113646318	1.0000	0.0000	0.5000	1.0000	0.5000	1.0000
set_P                 	1113646318	0.2000	0.0000	0.2000	0.2000	0.2000	0.2000
set_recall            	1113646318	1.0000	0.0000	1.0000	1.0000	1.0000	1.0000
set_F                 	1113646318	0.3333	0.0000	0.3333	0.3333	0.3333	0.3333
num_ret               	1795077042	5	5	5	5	5	5
num_rel               	1795077042	1	1	1	1	1	1
num_rel_ret           	1795077042	1	1	1	1	1	1
recip_rank            	1795077042	1.0000	0.3333	1.0000	1.0000	0.5000	1.0000
set_P                 	1795077042	0.2000	0.2000	0.2000	0.2000	0.2000	0.2000
set_recall            	1795077042	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
set_F                 	1795077042	0.3333	0.3333	0.3333	0.3333	0.3333	0.3333
num_ret               	1851792087	5	5	5	5	5	5
num_rel               	1851792087	1	1	1	1	1	1
num_rel_ret           	1851792087	1	1	1	1	1	1
recip_rank            	1851792087	1.0000	0.2000	1.0000	1.0000	0.5000	1.0000
set_P                 	1851792087	0.2000	0.2000	0.2000	0.2000	0.2000	0.2000
set_recall            	1851792087	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
set_F                 	1851792087	0.3333	0.3333	0.3333	0.3333	0.3333	0.3333
num_ret               	187186279	5	5	5	5	5	5
num_rel               	187186279	1	1	1	1	1	1
